,Area,NuclearDensity,Aspect Ratio,Circularity
,mean,mean,mean,mean
Big Labels,,,,
0,657.8321326190123,8.67650462962963,0.8235474401952717,0.9140571191290294
1,503.05273084392076,18.574529667149058,0.8108615886591329,0.9023520208601609
2,350.63959803099044,39.21910112359551,0.8127198481097834,0.8996892344913631
